geography,count,total,industryName,id
E06000001,149,37749,"Agriculture, Forestry and fishing",1
E06000001,428,37749,Mining and quarrying,2
E06000001,3874,37749,Manufacturing,3
E06000001,584,37749,"Electricity, gas, steam and air conditioning supply",4
E06000001,444,37749,"Water supply; Sewerage, Waste management and Remediation activities",5
E06000001,3809,37749,Construction,6
E06000001,5734,37749,Wholesale and retail trade; repair of motor vehicles and motorcycles,7
E06000001,1452,37749,Transport and storage,8
E06000001,1845,37749,Accommodation and food service activities,9
E06000001,834,37749,Information and communication,10
E06000001,628,37749,Financial and insurance activities,11
E06000001,544,37749,Real estate activities,12
E06000001,1689,37749,"Professional, scientific and technical activities",13
E06000001,1645,37749,Administrative and support service activities,14
E06000001,2632,37749,Public administration and defence; compulsory social security,15
E06000001,3763,37749,Education,16
E06000001,6354,37749,Human health and social work activities,17
E06000002,82,56431,"Agriculture, Forestry and fishing",18
E06000002,604,56431,Mining and quarrying,19
E06000002,3989,56431,Manufacturing,20
E06000002,439,56431,"Electricity, gas, steam and air conditioning supply",21
E06000002,397,56431,"Water supply; Sewerage, Waste management and Remediation activities",22
E06000002,4797,56431,Construction,23
E06000002,9048,56431,Wholesale and retail trade; repair of motor vehicles and motorcycles,24
E06000002,3102,56431,Transport and storage,25
E06000002,3034,56431,Accommodation and food service activities,26
E06000002,1529,56431,Information and communication,27
E06000002,1203,56431,Financial and insurance activities,28
E06000002,762,56431,Real estate activities,29
E06000002,2083,56431,"Professional, scientific and technical activities",30
E06000002,2735,56431,Administrative and support service activities,31
E06000002,3610,56431,Public administration and defence; compulsory social security,32
E06000002,5282,56431,Education,33
E06000002,11756,56431,Human health and social work activities,34
E06000003,283,55620,"Agriculture, Forestry and fishing",35
E06000003,1052,55620,Mining and quarrying,36
E06000003,4610,55620,Manufacturing,37
E06000003,537,55620,"Electricity, gas, steam and air conditioning supply",38
E06000003,467,55620,"Water supply; Sewerage, Waste management and Remediation activities",39
E06000003,5387,55620,Construction,40
E06000003,8317,55620,Wholesale and retail trade; repair of motor vehicles and motorcycles,41
E06000003,2676,55620,Transport and storage,42
E06000003,2815,55620,Accommodation and food service activities,43
E06000003,1109,55620,Information and communication,44
E06000003,854,55620,Financial and insurance activities,45
E06000003,919,55620,Real estate activities,46
E06000003,2557,55620,"Professional, scientific and technical activities",47
E06000003,2547,55620,Administrative and support service activities,48
E06000003,3698,55620,Public administration and defence; compulsory social security,49
E06000003,5188,55620,Education,50
E06000003,10322,55620,Human health and social work activities,51
E06000004,259,86447,"Agriculture, Forestry and fishing",52
E06000004,938,86447,Mining and quarrying,53
E06000004,6914,86447,Manufacturing,54
E06000004,850,86447,"Electricity, gas, steam and air conditioning supply",55
E06000004,586,86447,"Water supply; Sewerage, Waste management and Remediation activities",56
E06000004,7319,86447,Construction,57
E06000004,13503,86447,Wholesale and retail trade; repair of motor vehicles and motorcycles,58
E06000004,4233,86447,Transport and storage,59
E06000004,3879,86447,Accommodation and food service activities,60
E06000004,2649,86447,Information and communication,61
E06000004,2231,86447,Financial and insurance activities,62
E06000004,1223,86447,Real estate activities,63
E06000004,4629,86447,"Professional, scientific and technical activities",64
E06000004,3814,86447,Administrative and support service activities,65
E06000004,6455,86447,Public administration and defence; compulsory social security,66
E06000004,8847,86447,Education,67
E06000004,14889,86447,Human health and social work activities,68
E06000005,311,49295,"Agriculture, Forestry and fishing",69
E06000005,135,49295,Mining and quarrying,70
E06000005,4239,49295,Manufacturing,71
E06000005,184,49295,"Electricity, gas, steam and air conditioning supply",72
E06000005,295,49295,"Water supply; Sewerage, Waste management and Remediation activities",73
E06000005,3760,49295,Construction,74
E06000005,8468,49295,Wholesale and retail trade; repair of motor vehicles and motorcycles,75
E06000005,2869,49295,Transport and storage,76
E06000005,2295,49295,Accommodation and food service activities,77
E06000005,2053,49295,Information and communication,78
E06000005,1455,49295,Financial and insurance activities,79
E06000005,522,49295,Real estate activities,80
E06000005,2158,49295,"Professional, scientific and technical activities",81
E06000005,2351,49295,Administrative and support service activities,82
E06000005,4199,49295,Public administration and defence; compulsory social security,83
E06000005,4293,49295,Education,84
E06000005,7872,49295,Human health and social work activities,85
E06000047,2329,222212,"Agriculture, Forestry and fishing",86
E06000047,810,222212,Mining and quarrying,87
E06000047,24271,222212,Manufacturing,88
E06000047,1837,222212,"Electricity, gas, steam and air conditioning supply",89
E06000047,2157,222212,"Water supply; Sewerage, Waste management and Remediation activities",90
E06000047,20087,222212,Construction,91
E06000047,32612,222212,Wholesale and retail trade; repair of motor vehicles and motorcycles,92
E06000047,10228,222212,Transport and storage,93
E06000047,10094,222212,Accommodation and food service activities,94
E06000047,5391,222212,Information and communication,95
E06000047,3926,222212,Financial and insurance activities,96
E06000047,2978,222212,Real estate activities,97
E06000047,8805,222212,"Professional, scientific and technical activities",98
E06000047,9727,222212,Administrative and support service activities,99
E06000047,20085,222212,Public administration and defence; compulsory social security,100
E06000047,24092,222212,Education,101
E06000047,33805,222212,Human health and social work activities,102
E06000057,3830,140780,"Agriculture, Forestry and fishing",103
E06000057,810,140780,Mining and quarrying,104
E06000057,10802,140780,Manufacturing,105
E06000057,1130,140780,"Electricity, gas, steam and air conditioning supply",106
E06000057,1069,140780,"Water supply; Sewerage, Waste management and Remediation activities",107
E06000057,12174,140780,Construction,108
