geography,count,total,commutingType,id
E06000001,6570,37750,Work mainly at or from home,1
E06000001,33,37750,"Underground, metro, light rail, tram",2
E06000001,269,37750,Train,3
E06000001,1241,37750,"Bus, minibus or coach",4
E06000001,639,37750,Taxi,5
E06000001,73,37750,"Motorcycle, scooter or moped",6
E06000001,22448,37750,Driving a car or van,7
E06000001,2276,37750,Passenger in a car or van,8
E06000001,561,37750,Bicycle,9
E06000001,3131,37750,On foot,10
E06000001,509,37750,Other method of travel to work,11
E06000002,9478,56436,Work mainly at or from home,12
E06000002,28,56436,"Underground, metro, light rail, tram",13
E06000002,469,56436,Train,14
E06000002,2264,56436,"Bus, minibus or coach",15
E06000002,2050,56436,Taxi,16
E06000002,99,56436,"Motorcycle, scooter or moped",17
E06000002,30745,56436,Driving a car or van,18
E06000002,4060,56436,Passenger in a car or van,19
E06000002,1121,56436,Bicycle,20
E06000002,5129,56436,On foot,21
E06000002,993,56436,Other method of travel to work,22
E06000003,10019,55622,Work mainly at or from home,23
E06000003,19,55622,"Underground, metro, light rail, tram",24
E06000003,556,55622,Train,25
E06000003,1592,55622,"Bus, minibus or coach",26
E06000003,758,55622,Taxi,27
E06000003,126,55622,"Motorcycle, scooter or moped",28
E06000003,33885,55622,Driving a car or van,29
E06000003,3032,55622,Passenger in a car or van,30
E06000003,632,55622,Bicycle,31
E06000003,4096,55622,On foot,32
E06000003,907,55622,Other method of travel to work,33
E06000004,18809,86443,Work mainly at or from home,34
E06000004,45,86443,"Underground, metro, light rail, tram",35
E06000004,526,86443,Train,36
E06000004,2256,86443,"Bus, minibus or coach",37
E06000004,1319,86443,Taxi,38
E06000004,195,86443,"Motorcycle, scooter or moped",39
E06000004,50924,86443,Driving a car or van,40
E06000004,4392,86443,Passenger in a car or van,41
E06000004,1260,86443,Bicycle,42
E06000004,5439,86443,On foot,43
E06000004,1278,86443,Other method of travel to work,44
E06000005,11962,49296,Work mainly at or from home,45
E06000005,18,49296,"Underground, metro, light rail, tram",46
E06000005,403,49296,Train,47
E06000005,1405,49296,"Bus, minibus or coach",48
E06000005,720,49296,Taxi,49
E06000005,122,49296,"Motorcycle, scooter or moped",50
E06000005,25487,49296,Driving a car or van,51
E06000005,2742,49296,Passenger in a car or van,52
E06000005,966,49296,Bicycle,53
E06000005,4982,49296,On foot,54
E06000005,489,49296,Other method of travel to work,55
E06000006,14548,58707,Work mainly at or from home,56
E06000006,26,58707,"Underground, metro, light rail, tram",57
E06000006,470,58707,Train,58
E06000006,1916,58707,"Bus, minibus or coach",59
E06000006,492,58707,Taxi,60
E06000006,232,58707,"Motorcycle, scooter or moped",61
E06000006,31780,58707,Driving a car or van,62
E06000006,3231,58707,Passenger in a car or van,63
E06000006,1182,58707,Bicycle,64
E06000006,4296,58707,On foot,65
E06000006,534,58707,Other method of travel to work,66
E06000007,32647,103191,Work mainly at or from home,67
E06000007,51,103191,"Underground, metro, light rail, tram",68
E06000007,686,103191,Train,69
E06000007,2056,103191,"Bus, minibus or coach",70
E06000007,764,103191,Taxi,71
E06000007,408,103191,"Motorcycle, scooter or moped",72
E06000007,52839,103191,Driving a car or van,73
E06000007,4639,103191,Passenger in a car or van,74
E06000007,2552,103191,Bicycle,75
E06000007,5666,103191,On foot,76
E06000007,883,103191,Other method of travel to work,77
E06000008,12388,63558,Work mainly at or from home,78
E06000008,32,63558,"Underground, metro, light rail, tram",79
E06000008,522,63558,Train,80
E06000008,1568,63558,"Bus, minibus or coach",81
E06000008,2120,63558,Taxi,82
E06000008,196,63558,"Motorcycle, scooter or moped",83
E06000008,35313,63558,Driving a car or van,84
E06000008,4279,63558,Passenger in a car or van,85
E06000008,445,63558,Bicycle,86
E06000008,6018,63558,On foot,87
E06000008,677,63558,Other method of travel to work,88
E06000009,12013,59362,Work mainly at or from home,89
E06000009,262,59362,"Underground, metro, light rail, tram",90
E06000009,321,59362,Train,91
E06000009,3381,59362,"Bus, minibus or coach",92
E06000009,948,59362,Taxi,93
E06000009,333,59362,"Motorcycle, scooter or moped",94
E06000009,29376,59362,Driving a car or van,95
