geography,count,total,group,subgroup,id
E06000001,1600,92338,"Asian, Asian British or Asian Welsh",NA,1
E06000001,278,92338,"Asian, Asian British or Asian Welsh",Bangladeshi,2
E06000001,217,92338,"Asian, Asian British or Asian Welsh",Chinese,3
E06000001,335,92338,"Asian, Asian British or Asian Welsh",Indian,4
E06000001,297,92338,"Asian, Asian British or Asian Welsh",Pakistani,5
E06000001,473,92338,"Asian, Asian British or Asian Welsh",Other Asian,6
E06000001,445,92338,"Black, Black British, Black Welsh, Caribbean or African",NA,7
E06000001,327,92338,"Black, Black British, Black Welsh, Caribbean or African",African,8
E06000001,57,92338,"Black, Black British, Black Welsh, Caribbean or African",Caribbean,9
E06000001,61,92338,"Black, Black British, Black Welsh, Caribbean or African",Other Black,10
E06000001,671,92338,Mixed or Multiple ethnic groups,NA,11
E06000001,240,92338,Mixed or Multiple ethnic groups,White and Asian,12
E06000001,115,92338,Mixed or Multiple ethnic groups,White and Black African,13
E06000001,143,92338,Mixed or Multiple ethnic groups,White and Black Caribbean,14
E06000001,173,92338,Mixed or Multiple ethnic groups,Other Mixed or Multiple ethnic groups,15
E06000001,89068,92338,White,NA,16
E06000001,87761,92338,White,"English, Welsh, Scottish, Northern Irish or British",17
E06000001,170,92338,White,Irish,18
E06000001,37,92338,White,Gypsy or Irish Traveller,19
E06000001,19,92338,White,Roma,20
E06000001,1081,92338,White,Other White,21
E06000001,554,92338,Other ethnic group,NA,22
E06000001,270,92338,Other ethnic group,Arab,23
E06000001,284,92338,Other ethnic group,Any other ethnic group,24
E06000002,15090,143922,"Asian, Asian British or Asian Welsh",NA,25
E06000002,595,143922,"Asian, Asian British or Asian Welsh",Bangladeshi,26
E06000002,669,143922,"Asian, Asian British or Asian Welsh",Chinese,27
E06000002,2804,143922,"Asian, Asian British or Asian Welsh",Indian,28
E06000002,8990,143922,"Asian, Asian British or Asian Welsh",Pakistani,29
E06000002,2032,143922,"Asian, Asian British or Asian Welsh",Other Asian,30
E06000002,3816,143922,"Black, Black British, Black Welsh, Caribbean or African",NA,31
E06000002,3339,143922,"Black, Black British, Black Welsh, Caribbean or African",African,32
E06000002,162,143922,"Black, Black British, Black Welsh, Caribbean or African",Caribbean,33
E06000002,315,143922,"Black, Black British, Black Welsh, Caribbean or African",Other Black,34
E06000002,3001,143922,Mixed or Multiple ethnic groups,NA,35
E06000002,1110,143922,Mixed or Multiple ethnic groups,White and Asian,36
E06000002,650,143922,Mixed or Multiple ethnic groups,White and Black African,37
E06000002,570,143922,Mixed or Multiple ethnic groups,White and Black Caribbean,38
E06000002,671,143922,Mixed or Multiple ethnic groups,Other Mixed or Multiple ethnic groups,39
E06000002,118547,143922,White,NA,40
E06000002,114421,143922,White,"English, Welsh, Scottish, Northern Irish or British",41
E06000002,434,143922,White,Irish,42
E06000002,160,143922,White,Gypsy or Irish Traveller,43
E06000002,320,143922,White,Roma,44
E06000002,3212,143922,White,Other White,45
E06000002,3468,143922,Other ethnic group,NA,46
E06000002,1452,143922,Other ethnic group,Arab,47
E06000002,2016,143922,Other ethnic group,Any other ethnic group,48
E06000003,1160,136530,"Asian, Asian British or Asian Welsh",NA,49
E06000003,158,136530,"Asian, Asian British or Asian Welsh",Bangladeshi,50
E06000003,208,136530,"Asian, Asian British or Asian Welsh",Chinese,51
E06000003,175,136530,"Asian, Asian British or Asian Welsh",Indian,52
E06000003,283,136530,"Asian, Asian British or Asian Welsh",Pakistani,53
E06000003,336,136530,"Asian, Asian British or Asian Welsh",Other Asian,54
E06000003,265,136530,"Black, Black British, Black Welsh, Caribbean or African",NA,55
E06000003,182,136530,"Black, Black British, Black Welsh, Caribbean or African",African,56
E06000003,48,136530,"Black, Black British, Black Welsh, Caribbean or African",Caribbean,57
E06000003,35,136530,"Black, Black British, Black Welsh, Caribbean or African",Other Black,58
E06000003,1185,136530,Mixed or Multiple ethnic groups,NA,59
E06000003,460,136530,Mixed or Multiple ethnic groups,White and Asian,60
E06000003,215,136530,Mixed or Multiple ethnic groups,White and Black African,61
E06000003,270,136530,Mixed or Multiple ethnic groups,White and Black Caribbean,62
E06000003,240,136530,Mixed or Multiple ethnic groups,Other Mixed or Multiple ethnic groups,63
E06000003,133388,136530,White,NA,64
E06000003,131789,136530,White,"English, Welsh, Scottish, Northern Irish or British",65
E06000003,350,136530,White,Irish,66
E06000003,87,136530,White,Gypsy or Irish Traveller,67
E06000003,14,136530,White,Roma,68
E06000003,1148,136530,White,Other White,69
E06000003,532,136530,Other ethnic group,NA,70
E06000003,321,136530,Other ethnic group,Arab,71
E06000003,211,136530,Other ethnic group,Any other ethnic group,72
E06000004,9052,196593,"Asian, Asian British or Asian Welsh",NA,73
E06000004,236,196593,"Asian, Asian British or Asian Welsh",Bangladeshi,74
E06000004,690,196593,"Asian, Asian British or Asian Welsh",Chinese,75
E06000004,1812,196593,"Asian, Asian British or Asian Welsh",Indian,76
E06000004,4875,196593,"Asian, Asian British or Asian Welsh",Pakistani,77
E06000004,1439,196593,"Asian, Asian British or Asian Welsh",Other Asian,78
E06000004,2203,196593,"Black, Black British, Black Welsh, Caribbean or African",NA,79
E06000004,1823,196593,"Black, Black British, Black Welsh, Caribbean or African",African,80
E06000004,130,196593,"Black, Black British, Black Welsh, Caribbean or African",Caribbean,81
E06000004,250,196593,"Black, Black British, Black Welsh, Caribbean or African",Other Black,82
E06000004,2737,196593,Mixed or Multiple ethnic groups,NA,83
E06000004,1131,196593,Mixed or Multiple ethnic groups,White and Asian,84
E06000004,469,196593,Mixed or Multiple ethnic groups,White and Black African,85
E06000004,412,196593,Mixed or Multiple ethnic groups,White and Black Caribbean,86
E06000004,725,196593,Mixed or Multiple ethnic groups,Other Mixed or Multiple ethnic groups,87
E06000004,180937,196593,White,NA,88
E06000004,177526,196593,White,"English, Welsh, Scottish, Northern Irish or British",89
E06000004,528,196593,White,Irish,90
E06000004,145,196593,White,Gypsy or Irish Traveller,91
E06000004,143,196593,White,Roma,92
E06000004,2595,196593,White,Other White,93
E06000004,1664,196593,Other ethnic group,NA,94
E06000004,558,196593,Other ethnic group,Arab,95
E06000004,1106,196593,Other ethnic group,Any other ethnic group,96
E06000005,2966,107796,"Asian, Asian British or Asian Welsh",NA,97
E06000005,759,107796,"Asian, Asian British or Asian Welsh",Bangladeshi,98
E06000005,308,107796,"Asian, Asian British or Asian Welsh",Chinese,99
E06000005,1086,107796,"Asian, Asian British or Asian Welsh",Indian,100
