geography,count,total,student,employment,employmentType,fullTime,id
E06000001,39487,74685,active (excluding full-time students),NA,NA,NA,1
E06000001,36846,74685,active (excluding full-time students),In employment,NA,NA,2
E06000001,32298,74685,active (excluding full-time students),In employment,Employee,NA,3
E06000001,9575,74685,active (excluding full-time students),In employment,Employee,Part,4
E06000001,22723,74685,active (excluding full-time students),In employment,Employee,Full,5
E06000001,872,74685,active (excluding full-time students),In employment,Self-employed with employees,NA,6
E06000001,210,74685,active (excluding full-time students),In employment,Self-employed with employees,Part,7
E06000001,662,74685,active (excluding full-time students),In employment,Self-employed with employees,Full,8
E06000001,3676,74685,active (excluding full-time students),In employment,Self-employed without employees,NA,9
E06000001,1444,74685,active (excluding full-time students),In employment,Self-employed without employees,Part,10
E06000001,2232,74685,active (excluding full-time students),In employment,Self-employed without employees,Full,11
E06000001,2641,74685,active (excluding full-time students),Unemployed,NA,NA,12
E06000001,1264,74685,active and a full-time student,NA,NA,NA,13
E06000001,903,74685,active and a full-time student,In employment,NA,NA,14
E06000001,874,74685,active and a full-time student,In employment,Employee,NA,15
E06000001,712,74685,active and a full-time student,In employment,Employee,Part,16
E06000001,162,74685,active and a full-time student,In employment,Employee,Full,17
E06000001,5,74685,active and a full-time student,In employment,Self-employed with employees,NA,18
E06000001,5,74685,active and a full-time student,In employment,Self-employed with employees,Part,19
E06000001,0,74685,active and a full-time student,In employment,Self-employed with employees,Full,20
E06000001,24,74685,active and a full-time student,In employment,Self-employed without employees,NA,21
E06000001,16,74685,active and a full-time student,In employment,Self-employed without employees,Part,22
E06000001,8,74685,active and a full-time student,In employment,Self-employed without employees,Full,23
E06000001,361,74685,active and a full-time student,Unemployed,NA,NA,24
E06000001,33934,74685,inactive,NA,NA,NA,25
E06000001,17910,74685,inactive,Retired,NA,NA,26
E06000001,3463,74685,inactive,Student,NA,NA,27
E06000001,4303,74685,inactive,Looking after home or family,NA,NA,28
E06000001,5432,74685,inactive,Long-term sick or disabled,NA,NA,29
E06000001,2826,74685,inactive,Other,NA,NA,30
E06000002,58233,113939,active (excluding full-time students),NA,NA,NA,31
E06000002,53849,113939,active (excluding full-time students),In employment,NA,NA,32
E06000002,47228,113939,active (excluding full-time students),In employment,Employee,NA,33
E06000002,14198,113939,active (excluding full-time students),In employment,Employee,Part,34
E06000002,33030,113939,active (excluding full-time students),In employment,Employee,Full,35
E06000002,1245,113939,active (excluding full-time students),In employment,Self-employed with employees,NA,36
E06000002,376,113939,active (excluding full-time students),In employment,Self-employed with employees,Part,37
E06000002,869,113939,active (excluding full-time students),In employment,Self-employed with employees,Full,38
E06000002,5376,113939,active (excluding full-time students),In employment,Self-employed without employees,NA,39
E06000002,2287,113939,active (excluding full-time students),In employment,Self-employed without employees,Part,40
E06000002,3089,113939,active (excluding full-time students),In employment,Self-employed without employees,Full,41
E06000002,4384,113939,active (excluding full-time students),Unemployed,NA,NA,42
E06000002,4015,113939,active and a full-time student,NA,NA,NA,43
E06000002,2584,113939,active and a full-time student,In employment,NA,NA,44
E06000002,2461,113939,active and a full-time student,In employment,Employee,NA,45
E06000002,2064,113939,active and a full-time student,In employment,Employee,Part,46
E06000002,397,113939,active and a full-time student,In employment,Employee,Full,47
E06000002,24,113939,active and a full-time student,In employment,Self-employed with employees,NA,48
E06000002,13,113939,active and a full-time student,In employment,Self-employed with employees,Part,49
E06000002,11,113939,active and a full-time student,In employment,Self-employed with employees,Full,50
E06000002,99,113939,active and a full-time student,In employment,Self-employed without employees,NA,51
E06000002,85,113939,active and a full-time student,In employment,Self-employed without employees,Part,52
E06000002,14,113939,active and a full-time student,In employment,Self-employed without employees,Full,53
E06000002,1431,113939,active and a full-time student,Unemployed,NA,NA,54
E06000002,51691,113939,inactive,NA,NA,NA,55
E06000002,23267,113939,inactive,Retired,NA,NA,56
E06000002,7974,113939,inactive,Student,NA,NA,57
E06000002,7527,113939,inactive,Looking after home or family,NA,NA,58
E06000002,7879,113939,inactive,Long-term sick or disabled,NA,NA,59
E06000002,5044,113939,inactive,Other,NA,NA,60
E06000003,57807,112340,active (excluding full-time students),NA,NA,NA,61
E06000003,54282,112340,active (excluding full-time students),In employment,NA,NA,62
E06000003,47224,112340,active (excluding full-time students),In employment,Employee,NA,63
E06000003,14167,112340,active (excluding full-time students),In employment,Employee,Part,64
E06000003,33057,112340,active (excluding full-time students),In employment,Employee,Full,65
E06000003,1294,112340,active (excluding full-time students),In employment,Self-employed with employees,NA,66
E06000003,313,112340,active (excluding full-time students),In employment,Self-employed with employees,Part,67
E06000003,981,112340,active (excluding full-time students),In employment,Self-employed with employees,Full,68
E06000003,5764,112340,active (excluding full-time students),In employment,Self-employed without employees,NA,69
E06000003,2436,112340,active (excluding full-time students),In employment,Self-employed without employees,Part,70
E06000003,3328,112340,active (excluding full-time students),In employment,Self-employed without employees,Full,71
